country	housing	income	jobs	community	education	environment	civic	health	satisfaction	safety	balance
Australia	8.152315876	5.95	8.6	7.73	8.633333333	8.95	8.95	9.3	7.5	7.4	4.4
Austria	6.333333333	4.65	8.525	7.21	6.8	7.65	4.3	7.8	7.8	9.25	6
Belgium	7.566666667	5.2	7.95	6.02	7.9	5.8	7.15	8.1	6.5	6.4	7.75
Brazil	4.739394808	0.520795848	4.271140293	2.7	2.3	4.85	6.65	6.173297641	4.1	1.9	6.153066499
Canada	7.833333333	5.3	8.425	7.5	7.833333333	8.6	6.75	9.45	7.1	8.35	6.45
Chile	6.733333333	1.442965307	5.498313562	5.3	4.5	1.1	1.15	6.4	4.3	4.65	4.801570579
Colombia	4.053253539	0.496156513	5.202737787	1.3	1.433333333	4.1	2.1	7.35	2.8	1.6	0.6
Costa Rica	6.266666667	1.079010731	5.195656743	2.6	1.952638409	5.95	4.25	7.657198497	4.9	3.8	1.302727974
Czechia	5.433333333	2.472716103	7.75	9.1	7.833333333	6.35	3.55	6.3	6.7	8.4	6.982920061
Denmark	6.333333333	3.3	8.7	8.3	7.966666667	8.35	6.75	7.55	8.8	9.2	8.553844363
Estonia	7.033333333	2.4	7.35	8.4	8.233333333	8.2	6.05	5.65	5.3	8.4	7.3
Finland	6.366666667	3.75	8.225	8.9	9.2	9.85	5.45	7.6	10	9.25	7.3
France	6.8	4.25	7.475	8.2	6.333333333	6	5.8	7.65	6.1	8.15	8.15
Germany	7.033333333	4.85	8.9	6.2	7.633333333	7.65	5.3	7.15	8.1	8.35	8
Greece	5.3	1.75	3.025	0.5	6.4	3.85	3.55	8.45	3.1	7.55	6.95
Hungary	5.8	1.8	7.025	7.9	6.2	5.2	3.4	5.2	3.9	8	7.6
Iceland	6.486586872	6.408443011	9.7	10	6.833333333	9.65	6.55	8.6	9	9.25	4.775045127
Ireland	7.433333333	4.1	8.125	8.9	7.566666667	7.05	2.95	9.15	7.2	8.35	6.15
Israel	5.191176526	3.739028561	7.475	8.6	5.533333333	3.95	6.05	8.3	7.7	8.5	3.98414846
Italy	5.466666667	3.65	5.825	5.6	4.866666667	4.95	6.55	8.35	5.4	8.05	9.4
Japan	6.133333333	3.6	8.25	5.5	7.704684701	6.65	2	5.25	4.1	8.45	3.397679627
Korea	7.533333333	3.45	7.775	1.5	7.8	3.05	7.8	4.75	3.1	8.85	3.803350767
Latvia	4.533333333	1.25	6.925	7.1	7.533333333	6.4	3.95	4	4.5	7.4	7.543744034
Lithuania	5.8	2.7	7.049844941	5.5	7.733333333	6.9	4.65	4.15	5.1	6.65	7.737771904
Luxembourg	7.133333333	9.25	8.7	6.5	4.666666667	7.2	6.7	8.05	8.4	9.4	7.40833268
Mexico	3.7	1.096517608	6.175	0	1.3	3.65	6.95	5.6	3.6	0.2	0.371146008
Netherlands	7.533333333	4.05	9.125	8	7.733333333	7.65	7.4	8.2	8.7	8.95	8.35
New Zealand	6.832691047	6.05	8.35	8.5	7	8.1	7.5	9.2	7.9	7.25	4.9
Norway	8.133333333	4.65	8.775	8.7	7.433333333	9.75	6.45	8.35	8	9.9	8.5
Poland	5.066666667	2.6	7.225	8	8.066666667	4.1	6.35	5.75	4.2	7.9	6.45
Portugal	6.833333333	2.85	6.5	4.8	4.9	8.15	1.8	5.85	3	8.95	6.708030024
Russia	4.7	1.337902729	6.99076269	5.5	6.8	3.65	2.4	3.093920145	2.1	6.35	7.810306224
Slovak Republic	3.566666667	1.95	6	8.4	5.933333333	4.85	6.8	6.2	5.5	8.25	7.072910184
Slovenia	6.933333333	2.8	7.45	8.5	8.066666667	6.75	4.35	7.3	5.3	9.7	6.719161007
South Africa	2.561224562	0.072570875	0	5.7	0.983454355	1.4	3.930420105	3.110935572	0.3	2.45	3.57338118
Spain	6.733333333	3.8	5.275	7.8	5.602249969	5.95	4.95	8.65	5.4	8.7	8.4
Sweden	6.866666667	4.964320145	8.275	7.8	8.333333333	9.85	6.9	8.55	8.1	8.55	8.050238666
Switzerland	6.866666667	8.192972711	9.422266221	8.2	7.433333333	8.7	3.2	9.2	8.7	9.3	7.701950436
TÃ¼rkiye	5.233333333	1.332123033	4.42930649	3.7	4.2	0.3	5.9	6.55	0	6.6	2.45
United Kingdom	6.533333333	5.45	8.4	7.3	6.733333333	6.75	7.15	7.85	6.4	8.6	5.6
United States	8.633333333	8.5	8.825	7.8	7.4	8.2	7	8.55	7.2	7.5	5.15
